,code,name,gap
0,a002140,고려산업,2.4439918533604885
1,a003560,IHQ,3.576341127922971
2,a004140,동방,2.1848739495798317
3,a008500,일정실업,2.7253668763102725
4,a010600,웰바이오텍,2.209944751381215
5,a011200,HMM,2.5691699604743086
6,a011390,부산산업,2.6875699888017914
7,a014915,성문전자우,3.0821917808219177
8,a084680,이월드,7.3604060913705585
9,a085310,엔케이,3.7383177570093453
10,a093230,이아이디,3.3333333333333335
11,a219390,KBSTAR 미국S&P원유생산기업(합성 H),3.9297658862876257
12,a261220,KODEX WTI원유선물(H),2.0666255397902527
13,a302440,SK바이오사이언스,3.1620553359683794
14,a304670,KODEX 미국채울트라30년선물인버스(H),2.243409983174425
15,a411720,KBSTAR 글로벌메타버스Moorgate,2.93398533007335
16,a429000,TIGER 미국S&P500배당귀족,2.2911694510739857
17,q500015,신한 WTI원유 선물 ETN(H),2.2339027595269383
18,q500019,신한 레버리지 WTI원유 선물 ETN(H),4.609929078014184
19,q500030,신한 인버스 2X 은 선물 ETN(H),2.037037037037037
20,q500053,신한 레버리지 천연가스 선물 ETN,9.444072337575351
21,q500065,신한 블룸버그 레버리지 WTI원유 선물 ETN,4.547930283224401
22,q510005,대신 2X 아연선물 ETN(H),2.016302016302016
23,q510007,대신 2X 니켈선물 ETN(H),7.477964174011942
24,q510016,대신 천연가스 선물 ETN(H),4.470588235294118
25,q520009,미래에셋 레버리지 원유선물혼합 ETN(H),4.0
26,q520010,미래에셋 원유선물혼합 ETN(H),6.274768824306473
27,q520043,미래에셋 S&P 유럽탄소배출권 선물 ETN,2.5974025974025974
28,q520046,미래에셋 레버리지 옥수수 선물 ETN,2.967075038284839
29,q530023,삼성 레버리지 China A50 선물 ETN(H),2.0863982880834557
30,q530031,삼성 레버리지 WTI원유 선물 ETN,3.8860103626943006
31,q530062,삼성 인버스 2X 은 선물 ETN(H),2.15633423180593
32,q530068,삼성 레버리지 천연가스 선물 ETN B,8.941380163245114
33,q530098,삼성 블룸버그 WTI원유 선물 ETN,3.1234506693108575
34,q530099,삼성 블룸버그 레버리지 WTI원유 선물 ETN,4.247209365641165
35,q550065,QV 인버스 레버리지 은 선물 ETN(H),2.5455298013245033
36,q550071,QV 블룸버그 2X WTI원유선물 ETN,5.4291198245132986
37,q570045,TRUE 레버리지 천연가스 선물 ETN(H),9.090909090909092
38,q570062,TRUE 인버스 2X 은 선물 ETN,2.588580870203782
39,q570066,TRUE 인버스 2X 베트남 VN30 선물 ETN(H),3.1026785714285716
40,q570072,TRUE 레버리지 구리 선물 ETN,2.1550225929787974
41,q570077,TRUE 블룸버그 WTI원유 선물 ETN,2.858551010349926
42,q570078,TRUE 블룸버그 레버리지 WTI원유 선물 ETN,4.733405875952122
43,q580020,KB 천연가스 선물 ETN(H),4.645300684191573
44,q580024,KB 레버리지 KRX BBIG K-뉴딜 ETN,3.8011695906432745
45,q580035,KB S&P 유럽탄소배출권 선물 ETN(H),2.088167053364269
46,q580036,KB S&P 레버리지 WTI원유 선물 ETN(H),4.219288174512055
47,q610010,메리츠 인버스 2X 국채30년 ETN,2.323298429319372
48,q610028,메리츠 레버리지 구리 선물 ETN(H),2.631578947368421
49,q610033,메리츠 STAR 50 ETN,2.663438256658596
50,q610035,메리츠 레버리지 대표 농산물 선물 ETN(H),2.170736798163223
51,q610041,메리츠 블룸버그 레버리지 WTI선물 ETN(H),4.929374459498415
52,q700011,하나 레버리지 옥수수 선물 ETN(H),2.9536761580960476
53,q700013,하나 레버리지 콩 선물 ETN(H),2.705805182026894
54,q700015,하나 S&P 레버리지 WTI원유 선물 ETN,4.828150572831424
55,a000440,중앙에너비스,2.784222737819025
56,a002290,삼일기업공사,2.6737967914438503
57,a006920,모헨즈,4.1065482796892345
58,a025880,케이씨피드,6.843575418994413
59,a035290,골드앤에스,2.2869022869022873
60,a036030,케이티알파,2.706766917293233
61,a037230,한국팩키지,2.4890190336749636
62,a041460,한국전자인증,7.269789983844912
63,a043100,솔고바이오,2.3769100169779285
64,a043710,서울리거,2.1321961620469083
65,a046940,우원개발,2.8846153846153846
66,a050960,수산아이앤티,2.100840336134454
67,a052020,에스티큐브,2.7777777777777777
68,a053050,지에스이,2.6365348399246704
69,a053620,태양,2.717391304347826
70,a054300,팬스타엔터프라이즈,3.6241610738255035
71,a065530,와이어블,3.061224489795918
72,a065570,삼영이엔씨,5.080545229244114
73,a066670,디스플레이텍,4.508856682769726
74,a082850,우리바이오,3.493975903614458
75,a122870,와이지엔터테인먼트,2.857142857142857
76,a126640,화신정공,5.128205128205128
77,a134580,탑코미디어,2.978235967926689
78,a140410,메지온,3.0136986301369864
79,a159010,아스플로,2.2123893805309733
80,a173940,에프엔씨엔터,2.6595744680851063
81,a175140,인포마크,3.0942334739803097
82,a176440,에이치엔티,32.0
83,a179530,애드바이오텍,3.2692307692307696
84,a208350,지란지교시큐리티,5.5908513341804325
85,a217190,제너셈,2.56
86,a234920,자이글,2.3636363636363638
87,a260930,씨티케이,3.4571062740076828
88,a267320,나인테크,2.1144278606965177
89,a270520,지엔원에너지,6.007067137809187
90,a288330,브릿지바이오테라퓨틱스,2.380952380952381
91,a298870,다올인베스트먼트,2.245508982035928
92,a300080,플리토,2.236024844720497
93,a302550,리메드,2.6022304832713754
94,a323990,박셀바이오,6.599713055954089
95,a336060,웨이버스,3.133903133903134
96,a340440,세림B&G,6.036745406824147
97,a388050,지투파워,21.935483870967744
98,a389260,대명에너지,4.182509505703422
99,a391710,엔에이치스팩21호,3.4482758620689653
100,a399720,가온칩스,3.5315985130111525
